File Name,File Format,Preservation Normalization Attempted,Preservation Normalization Failed,Preservation Conformance Check,Already in Preservation Format,Access Normalization Attempted,Access Normalization Failed,Already in Access Format,Access Conformance Check
RG456-05/RG456-05-06/RG456-05-06-28-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/5ded8617-b177-4ffe-b2a2-2ce9cbc18dad/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/6f6c1c06-b61c-4a85-bc1f-2d9393fdd45b/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-13-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/0d9d8b7e-638e-41d7-875c-e5c80f5909d3/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/cd221a60-d054-4ae7-8fd3-da5e84021b38/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-02-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/436ed86f-617d-4ca5-ac2a-4c9d76a131a7/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/ef4e973a-9136-4648-bee4-eae1bee21513/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-010.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/3248dedb-bea0-4750-8e08-e23a3796e2d0/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/678aa640-66fa-4516-a8b7-c87c8ce2c8ab/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-31-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/736e7864-3833-4997-9dff-ba3854c80a1a/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/12ef998d-36b3-43f8-89eb-8037ee4d74b0/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-29-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/d754e209-33ac-4600-b488-4f830e2d0cf1/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/e69da14c-c88c-4e32-b8d1-dc0ae21c0408/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-007.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/ba66db69-83a2-47d1-a068-358151915b26/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/dcf708c9-96a6-4b5e-bdae-516b25b7ee2d/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-12-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/a41fec10-c7ae-4489-b897-b09aab8d8698/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/9142a7b3-68ca-472f-9561-af67d89a976b/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-008.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/38ffe425-f6ea-475e-8d0e-97c2cb03fe33/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/62b0ce06-93f0-4293-8408-7541f3847337/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-13-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/be06daad-5049-4c26-9ee5-81d64d8b85f3/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/5322d5eb-e6d9-4fd6-b295-6cd1b65e0acd/",No,No,N/A
RG456-05/RG456-05-07/RG456-05-07-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/6bf6b51a-02d8-4597-af7f-e321c91b21e8/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/ed868252-e640-49c7-9ad5-3488e4aecbff/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-11-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/80bcaf62-890f-4141-9147-c9abd340cda9/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/91e9cd69-c5b6-4fa7-b2d1-4ee24db6fe01/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-17-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/afddc54d-79ec-4380-9aea-16fc02106af7/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/da86790c-43af-4ca0-959f-3179d2600ee1/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-30-002.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/ccaeaf27-6c51-4f78-82ae-945a97f27bdd/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/04d91ac3-3e63-4369-8f0f-d301979d4d60/",No,No,N/A
RG456-05/RG456-05-01/RG456-05-01-014.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/d6e76d62-37af-4778-9162-0f5b2bb06a8a/",No,Passed "https://archtorontomu.scholarsportal.info/task/86c1b1b2-7d55-4183-bcbe-a00eaadd75bf/",No,Yes "https://archtorontomu.scholarsportal.info/task/45d4a8a2-6a80-4ed6-a163-852c096fa1c2/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/a8fe2330-3a8a-42a1-98dc-2096aa975cc2/"
RG456-05/RG456-05-06/RG456-05-06-12-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/7b3dfdab-1182-4be5-abb5-4fbca62519eb/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/f805b09c-888c-4c4a-9ade-8f31f3f06a89/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-17-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/83849f3e-06a1-4252-b089-8f4fb526e4b8/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/de8047e4-c8f4-4bf9-8ace-054c697a916c/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-19-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/97f2ed53-3b07-4d7f-834f-19527e6ac5de/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/d8cc2ca7-5323-4b94-9956-722a09322c57/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-08-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/59b43540-f645-4325-a4b0-8b31bca8ebfb/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/b1ef0d1b-f2d5-4f94-a4cc-d7b744bc2e42/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-14-004.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/9a24e783-63a3-4e70-a355-da3ed95ad7da/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/c4aef379-e3a2-4428-a90a-223ec916dbb5/",No,No,N/A
RG456-05/RG456-05-06/RG456-05-06-32-003.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/f84f97c2-1c2d-4662-9b87-0b2b57e0d882/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/a661b8f0-2eed-4c77-aa1f-6deba5b8e21e/",No,No,N/A
RG456-05/RG456-05-01/RG456-05-01-016.mp3,MPEG1/2AudioLayer3,Yes "https://archtorontomu.scholarsportal.info/task/751b2057-38c9-4768-99cd-860c1161c53a/",No,Passed "https://archtorontomu.scholarsportal.info/task/721728da-1fc3-46bb-8655-c5f723834b57/",No,Yes "https://archtorontomu.scholarsportal.info/task/216f11e2-f90f-4dfb-8062-6668506b0a3e/",No,No,Passed "https://archtorontomu.scholarsportal.info/task/117834f7-a065-48ce-af6b-3eb76edf78d9/"
RG456-05/RG456-05-06/RG456-05-06-06-001.wav,WaveformAudio(PCMWAVEFORMAT),No "https://archtorontomu.scholarsportal.info/task/a4e1e341-6626-4f4c-ad48-ceaa2b54b09f/",No,N/A,Yes,Yes "https://archtorontomu.scholarsportal.info/task/bc3df5a1-e5c4-4496-890a-5206b2a004f4/",No,No,N/A
